2026-08-05 08:43:39 | INFO     | researchmind | Pipeline started for query: artificial intelligence in healthcare
2026-08-05 08:43:39 | INFO     | researchmind | ▶ BaseAgent started
2026-08-05 08:43:41 | INFO     | researchmind | Initializing Gemini model: gemini-2.5-flash
2026-08-05 08:43:41 | ERROR    | researchmind | LLM invoke failed: Error calling model 'gemini-2.5-flash' (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use a newer model for the latest features and improvements.', 'status': 'NOT_FOUND'}}
2026-08-05 08:43:41 | ERROR    | researchmind | Planner Agent error: Error calling model 'gemini-2.5-flash' (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use a newer model for the latest features and improvements.', 'status': 'NOT_FOUND'}}
2026-08-05 08:43:41 | INFO     | researchmind | ✔ BaseAgent completed in 2.321s
2026-08-05 08:43:41 | INFO     | researchmind | ▶ BaseAgent started
2026-08-05 08:43:41 | INFO     | researchmind | ✔ BaseAgent completed in 0.000s
2026-08-05 08:43:41 | INFO     | researchmind | ▶ BaseAgent started
2026-08-05 08:43:41 | INFO     | researchmind | RAG Agent: no documents indexed, skipping retrieval
2026-08-05 08:43:41 | INFO     | researchmind | ✔ BaseAgent completed in 0.000s
2026-08-05 08:43:41 | INFO     | researchmind | ▶ BaseAgent started
2026-08-05 08:43:41 | INFO     | researchmind | ✔ BaseAgent completed in 0.000s
2026-08-05 08:43:41 | INFO     | researchmind | ▶ BaseAgent started
2026-08-05 08:43:41 | INFO     | researchmind | Initializing Gemini model: gemini-2.5-flash
2026-08-05 08:43:41 | ERROR    | researchmind | LLM invoke failed: Error calling model 'gemini-2.5-flash' (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use a newer model for the latest features and improvements.', 'status': 'NOT_FOUND'}}
2026-08-05 08:43:41 | ERROR    | researchmind | Writer Agent error: Error calling model 'gemini-2.5-flash' (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use a newer model for the latest features and improvements.', 'status': 'NOT_FOUND'}}
2026-08-05 08:43:41 | INFO     | researchmind | ✔ BaseAgent completed in 0.138s
2026-08-05 08:43:41 | INFO     | researchmind | ▶ BaseAgent started
2026-08-05 08:43:41 | INFO     | researchmind | ✔ BaseAgent completed in 0.000s
2026-08-05 08:43:41 | INFO     | researchmind | ▶ BaseAgent started
2026-08-05 08:43:41 | INFO     | researchmind | Initializing Gemini model: gemini-2.5-flash
2026-08-05 08:43:41 | ERROR    | researchmind | LLM invoke failed: Error calling model 'gemini-2.5-flash' (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use a newer model for the latest features and improvements.', 'status': 'NOT_FOUND'}}
2026-08-05 08:43:41 | ERROR    | researchmind | Enrichment Agent error: Error calling model 'gemini-2.5-flash' (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use a newer model for the latest features and improvements.', 'status': 'NOT_FOUND'}}
2026-08-05 08:43:41 | INFO     | researchmind | ✔ BaseAgent completed in 0.129s
2026-08-05 08:43:41 | INFO     | researchmind | ▶ BaseAgent started
2026-08-05 08:43:41 | INFO     | researchmind | Initializing Gemini model: gemini-2.5-flash
2026-08-05 08:43:41 | ERROR    | researchmind | LLM invoke failed: Error calling model 'gemini-2.5-flash' (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use a newer model for the latest features and improvements.', 'status': 'NOT_FOUND'}}
2026-08-05 08:43:41 | ERROR    | researchmind | Citation Agent error: Error calling model 'gemini-2.5-flash' (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use a newer model for the latest features and improvements.', 'status': 'NOT_FOUND'}}
2026-08-05 08:43:41 | INFO     | researchmind | ✔ BaseAgent completed in 0.138s
2026-08-05 08:43:41 | INFO     | researchmind | ▶ BaseAgent started
2026-08-05 08:43:41 | INFO     | researchmind | Initializing Gemini model: gemini-2.5-flash
2026-08-05 08:43:41 | ERROR    | researchmind | LLM invoke failed: Error calling model 'gemini-2.5-flash' (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use a newer model for the latest features and improvements.', 'status': 'NOT_FOUND'}}
2026-08-05 08:43:41 | ERROR    | researchmind | Presentation Agent error: Error calling model 'gemini-2.5-flash' (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use a newer model for the latest features and improvements.', 'status': 'NOT_FOUND'}}
2026-08-05 08:43:41 | INFO     | researchmind | ✔ BaseAgent completed in 0.127s
2026-08-05 08:43:41 | INFO     | researchmind | ▶ BaseAgent started
2026-08-05 08:43:42 | ERROR    | researchmind | LLM invoke failed: Error calling model 'gemini-2.5-flash' (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use a newer model for the latest features and improvements.', 'status': 'NOT_FOUND'}}
2026-08-05 08:43:42 | ERROR    | researchmind | Interview Agent error: Error calling model 'gemini-2.5-flash' (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use a newer model for the latest features and improvements.', 'status': 'NOT_FOUND'}}
2026-08-05 08:43:42 | INFO     | researchmind | ✔ BaseAgent completed in 0.160s
2026-08-05 08:43:42 | INFO     | researchmind | ▶ BaseAgent started
2026-08-05 08:43:59 | ERROR    | researchmind | LLM invoke failed: Error calling model 'gemini-2.5-flash' (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use a newer model for the latest features and improvements.', 'status': 'NOT_FOUND'}}
2026-08-05 08:43:59 | ERROR    | researchmind | Quiz Agent error: Error calling model 'gemini-2.5-flash' (NOT_FOUND): 404 NOT_FOUND. {'error': {'code': 404, 'message': 'This model models/gemini-2.5-flash is no longer available to new users. Please update your code to use a newer model for the latest features and improvements.', 'status': 'NOT_FOUND'}}
2026-08-05 08:43:59 | INFO     | researchmind | ✔ BaseAgent completed in 17.554s
2026-08-05 08:43:59 | INFO     | researchmind | Pipeline finished. Agents run: 11, errors: 7
2026-08-05 08:44:39 | INFO     | researchmind | Pipeline started for query: artificial intelligence in healthcare
